codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;latitude;longitude;ocorrencia_cidade;uf;ocorrencia_pais;oc_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodos;ocorrencia_tipo
39115;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0;Faixa ate 2250KG;ACIDENTE;-13.3805555556;-44.6172222222;CORRENTINA;BA;BRASIL;1;NÃO;2010;TARDE;PANE SECA
39155;AVIÃO;BEECH AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0;Faixa de 2250KG e 5700KG;INCIDENTE;***;***;BELO HORIZONTE;MG;BRASIL;1;NÃO;2010;TARDE;VAZAMENTO DE COMBUSTÍVEL
39156;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;ARREMETIDA NO AR;LEVE;0;Acima de 5700KG;INCIDENTE GRAVE;-15.2402777778;-59.3541666667;CASCAVEL;PR;BRASIL;1;NÃO;2010;NOITE;FOGO EM VOO
39158;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;Acima de 5700KG;INCIDENTE;***;***;BELÉM;PA;BRASIL;1;NÃO;2010;TARDE;SUPERAQUECIMENTO
39176;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;Acima de 5700KG;INCIDENTE;0;0;SÃO LUÍS;MA;BRASIL;1;NÃO;2010;MANHA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39178;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;Acima de 5700KG;INCIDENTE;0;0;CAMPINAS;SP;BRASIL;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39235;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;DESTRUÍDA;1;Faixa ate 2250KG;ACIDENTE;-18.0583333333;-50.1458333333;ITUMBIARA;GO;BRASIL;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39275;HELICÓPTERO;EUROCOPTER FRANCE;TURBOEIXO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUÍDA;1;Faixa ate 2250KG;ACIDENTE;-23.5758333333;-46.7022222222;SÃO PAULO;SP;BRASIL;1;NÃO;2010;MANHA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39295;ULTRALEVE;***;PISTÃO;MONOMOTOR;EXPERIMENTAL;APROXIMAÇÃO FINAL;SUBSTANCIAL;2;Faixa ate 2250KG;ACIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;1;NÃO;2010;NOITE;PERDA DE CONTROLE EM VOO
39315;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;TÁXI AÉREO;CRUZEIRO;***;2;Faixa ate 2250KG;ACIDENTE;-6.615;-64.1116666667;CANUTAMA;AM;BRASIL;1;NÃO;2010;NOITE;OUTROS
39316;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;SUBSTANCIAL;0;Faixa ate 2250KG;ACIDENTE;-27.1919444444;-49.8313888889;RIO DO OESTE;SC;BRASIL;1;NÃO;2010;TARDE;POUSO ANTES DA PISTA
39317;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;SUBSTANCIAL;0;Faixa ate 2250KG;ACIDENTE;***;***;RIO VERDE;GO;BRASIL;1;NÃO;2010;TARDE;POUSO BRUSCO
39318;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;TÁXI AÉREO;DESCIDA;SUBSTANCIAL;2;Faixa de 2250KG e 5700KG;ACIDENTE;-2.6;-51.8441666667;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;1;NÃO;2010;TARDE;FALHA DO MOTOR EM VOO
39319;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUÍDA;2;Faixa ate 2250KG;ACIDENTE;-23.4125;-47.5583333333;IPERÓ;SP;BRASIL;1;NÃO;2010;MANHA;PANE SECA
